pkid,backend,strategy,ARG,in_constraints_probs,best_solution_probs,iteration_count
1,FakeTorino,3,"[1005.43603515625, 1475.13037109375, 901.640625, 1340.76123046875, 789.46826171875]","[4.00390625, 2.83203125, 6.640625, 4.78515625, 8.203125]","[3.80859375, 2.1484375, 4.4921875, 4.00390625, 5.6640625]","[22, 28, 22, 23, 24]"
1,FakeTorino,2,"[1030.5263671875, 1397.7919921875, 1157.720703125]","[2.34375, 2.734375, 2.9296875]","[1.5625, 0.48828125, 2.1484375]","[29, 28, 28]"
1,FakeTorino,1,timeout,timeout,timeout,timeout
1,FakeTorino,0,1681.55859375,0.1953125,0.09765625,30
1,FakeBrisbane,4,"[996.201171875, 1366.14599609375, 1025.49658203125, 1430.24853515625, 831.2646484375]","[3.80859375, 3.3203125, 2.1484375, 4.98046875, 4.6875]","[2.34375, 1.66015625, 0.29296875, 4.00390625, 3.61328125]","[22, 26, 26, 21, 26]"
1,FakeBrisbane,3,"[1104.140625, 1439.41162109375, 1086.8896484375, 1471.6572265625, 852.7734375]","[1.5625, 3.61328125, 1.7578125, 2.734375, 3.125]","[1.46484375, 2.5390625, 0.9765625, 1.953125, 1.85546875]","[18, 18, 23, 20, 25]"
1,FakeBrisbane,2,"[1193.62890625, 1561.68310546875, 1214.76953125]","[0.09765625, 1.171875, 2.9296875]","[0.09765625, 0.78125, 2.1484375]","[22, 31, 25]"
1,FakeBrisbane,1,"[1491.64111328125, 1903.67822265625]","[0.390625, 0.1953125]","[0.09765625, 0]","[31, 25]"
1,FakeBrisbane,0,1840.36669921875,0,0,21
2,FakeKyiv,4,"[60.33129507211538, 85.95277944711539, 89.34163161057693, 111.13817608173076, 86.65860877403846]","[0.390625, 0.09765625, 0.09765625, 0.09765625, 0.1953125]","[0.09765625, 0, 0, 0, 0.09765625]","[33, 29, 35, 31, 27]"
2,FakeKyiv,3,"[68.29903846153846, 100.11588040865385, 100.63802584134615]","[0.29296875, 0, 0.09765625]","[0, 0, 0]","[26, 26, 31]"
2,FakeKyiv,2,"[69.66293569711539, 103.64540264423077, 100.94540264423077]","[0.1953125, 0, 0.09765625]","[0, 0, 0]","[30, 26, 31]"
2,FakeKyiv,1,"[90.87169471153847, 116.07462439903846]","[0.09765625, 0.1953125]","[0, 0.09765625]","[31, 30]"
2,FakeKyiv,0,91.77189002403846,0.09765625,0.09765625,33
2,FakeTorino,4,"[57.11404747596154, 64.89280348557692, 75.77116887019231, 91.98786057692308, 77.44701021634616]","[2.05078125, 1.46484375, 1.46484375, 0.390625, 0.68359375]","[0.29296875, 0, 0, 0, 0.1953125]","[25, 31, 33, 35, 29]"
2,FakeTorino,3,"[61.667788461538464, 76.48566706730769, 85.6815655048077]","[2.34375, 1.46484375, 1.07421875]","[0.09765625, 0.390625, 0.09765625]","[36, 30, 35]"
2,FakeTorino,2,"[58.021484375, 79.11298076923077, 85.11350661057692]","[0.9765625, 1.07421875, 0.87890625]","[0.09765625, 0, 0.1953125]","[36, 28, 27]"
2,FakeTorino,1,"[77.56832932692308, 92.2857421875]","[0.390625, 0]","[0, 0]","[29, 33]"
2,FakeTorino,0,timeout,timeout,timeout,timeout
2,FakeBrisbane,4,"[57.687545072115384, 76.05283954326923, 90.97698317307692, 101.2641826923077, 91.55602463942307]","[1.07421875, 0.68359375, 0.1953125, 0.1953125, 0.09765625]","[0.09765625, 0, 0.1953125, 0, 0]","[26, 34, 27, 29, 30]"
2,FakeBrisbane,3,"[74.8091045673077, 99.044140625, 102.80703125]","[0.5859375, 0.09765625, 0.29296875]","[0, 0, 0.09765625]","[28, 29, 26]"
2,FakeBrisbane,2,"[71.73106971153847, 106.8641826923077, 94.76150841346154]","[0.48828125, 0.1953125, 0.1953125]","[0.09765625, 0, 0.09765625]","[26, 32, 33]"
2,FakeBrisbane,1,"[86.73958834134615, 119.98114483173077]","[0, 0.29296875]","[0, 0.1953125]","[26, 38]"
2,FakeBrisbane,0,93.07884615384616,0,0,31

